ts,hermes_price,hermes_conf,lazer_price,lazer_conf,lazer_bid,lazer_ask,deviation_abs,deviation_pct,lazer_spread,lazer_price_step,lazer_stuck
2026-04-08 08:00:00+00:00,137.250420,4.472320,130.001930,9.998070,127.380000,140.000000,-7.248490,-5.281215,12.620000,,False
2026-04-08 08:00:01+00:00,137.250420,4.472320,130.001860,9.998140,129.800000,140.000000,-7.248560,-5.281266,10.200000,0.000070,True
2026-04-08 08:00:02+00:00,137.250420,4.472320,130.002390,9.997610,120.000000,140.000000,-7.248030,-5.280880,20.000000,0.000530,True
2026-04-08 08:00:03+00:00,137.250420,4.472320,130.001600,9.998400,120.000000,140.000000,-7.248820,-5.281456,20.000000,0.000790,True
2026-04-08 08:00:04+00:00,137.250420,4.472320,130.002060,9.997940,120.000000,140.000000,-7.248360,-5.281120,20.000000,0.000460,True
2026-04-08 08:00:05+00:00,132.854760,8.331850,130.001990,9.998010,120.000000,140.000000,-2.852770,-2.147285,20.000000,0.000070,True
2026-04-08 08:00:06+00:00,135.495690,5.494090,130.002190,9.997810,120.000000,140.000000,-5.493500,-4.054373,20.000000,0.000200,True
2026-04-08 08:00:07+00:00,135.495690,5.494090,130.002450,9.997550,120.000000,140.000000,-5.493240,-4.054181,20.000000,0.000260,True
2026-04-08 08:00:08+00:00,135.495690,5.494090,130.001530,9.998470,120.000000,140.000000,-5.494160,-4.054860,20.000000,0.000920,True
2026-04-08 08:00:09+00:00,135.495690,5.494090,130.002130,9.997870,127.380000,140.000000,-5.493560,-4.054417,12.620000,0.000600,True
2026-04-08 08:00:10+00:00,135.495690,5.494090,130.002650,9.997350,127.380000,140.000000,-5.493040,-4.054033,12.620000,0.000520,True
2026-04-08 08:00:11+00:00,138.174680,8.173080,130.001860,9.998140,127.380000,140.000000,-8.172820,-5.914846,12.620000,0.000790,True
2026-04-08 08:00:12+00:00,138.174680,8.173080,130.002260,9.997740,127.380000,140.000000,-8.172420,-5.914557,12.620000,0.000400,True
2026-04-08 08:00:13+00:00,138.106320,8.104720,130.002000,9.998000,127.380000,140.000000,-8.104320,-5.868175,12.620000,0.000260,True
2026-04-08 08:00:14+00:00,138.106320,8.104720,130.002390,10.002390,120.000000,140.000000,-8.103930,-5.867892,20.000000,0.000390,True
2026-04-08 08:00:15+00:00,138.106320,8.104720,130.001470,10.001470,120.000000,140.000000,-8.104850,-5.868558,20.000000,0.000920,True
2026-04-08 08:00:16+00:00,138.106320,8.104720,130.001730,10.001730,120.000000,140.000000,-8.104590,-5.868370,20.000000,0.000260,True
2026-04-08 08:00:17+00:00,138.102100,8.100500,130.002390,10.002390,120.000000,140.000000,-8.099710,-5.865016,20.000000,0.000660,True
2026-04-08 08:00:18+00:00,138.102100,8.100500,130.002390,10.002390,120.000000,140.000000,-8.099710,-5.865016,20.000000,0.000000,True
2026-04-08 08:00:19+00:00,138.102100,8.102110,130.002000,10.002000,120.000000,140.000000,-8.100100,-5.865298,20.000000,0.000390,True
2026-04-08 08:00:20+00:00,138.102100,8.102110,130.001860,10.001860,120.000000,140.000000,-8.100240,-5.865400,20.000000,0.000140,True
2026-04-08 08:00:21+00:00,138.102100,8.102110,130.001730,10.001730,120.000000,140.000000,-8.100370,-5.865494,20.000000,0.000130,True
2026-04-08 08:00:22+00:00,138.102100,8.102110,130.002260,10.002260,120.000000,140.000000,-8.099840,-5.865110,20.000000,0.000530,True
2026-04-08 08:00:23+00:00,138.113840,8.113850,130.001730,10.001730,120.000000,140.000000,-8.112110,-5.873495,20.000000,0.000530,True
2026-04-08 08:00:24+00:00,138.113840,8.113850,130.001860,10.001860,120.000000,140.000000,-8.111980,-5.873401,20.000000,0.000130,True
2026-04-08 08:00:25+00:00,138.113840,8.113830,130.001860,10.001860,120.000000,140.000000,-8.111980,-5.873401,20.000000,0.000000,True
2026-04-08 08:00:26+00:00,138.113840,8.113830,130.001600,10.001600,120.000000,140.000000,-8.112240,-5.873589,20.000000,0.000260,True
2026-04-08 08:00:27+00:00,138.113840,8.113830,130.002130,10.002130,120.000000,140.000000,-8.111710,-5.873206,20.000000,0.000530,True
2026-04-08 08:00:28+00:00,138.113840,8.113830,130.001860,10.001860,120.000000,140.000000,-8.111980,-5.873401,20.000000,0.000270,True
2026-04-08 08:00:29+00:00,138.103010,8.103000,130.001600,10.001600,120.000000,140.000000,-8.101410,-5.866208,20.000000,0.000260,True
2026-04-08 08:00:30+00:00,138.103010,8.103000,130.002260,10.002260,120.000000,140.000000,-8.100750,-5.865730,20.000000,0.000660,True
2026-04-08 08:00:31+00:00,138.103010,8.103000,130.001470,10.001470,120.000000,140.000000,-8.101540,-5.866302,20.000000,0.000790,True
2026-04-08 08:00:32+00:00,138.103010,8.103000,130.001730,10.001730,120.000000,140.000000,-8.101280,-5.866114,20.000000,0.000260,True
2026-04-08 08:00:33+00:00,138.103010,8.103000,130.002650,10.002650,120.000000,140.000000,-8.100360,-5.865448,20.000000,0.000920,True
2026-04-08 08:00:34+00:00,138.103010,8.103000,130.001600,10.001600,120.000000,140.000000,-8.101410,-5.866208,20.000000,0.001050,True
2026-04-08 08:00:35+00:00,138.111650,8.111640,130.002130,10.002130,120.000000,140.000000,-8.109520,-5.871713,20.000000,0.000530,True
2026-04-08 08:00:36+00:00,138.111650,8.111640,130.001470,10.001470,120.000000,140.000000,-8.110180,-5.872191,20.000000,0.000660,True
2026-04-08 08:00:37+00:00,138.111650,8.111640,130.001470,10.001470,120.000000,140.000000,-8.110180,-5.872191,20.000000,0.000000,True
2026-04-08 08:00:38+00:00,138.111650,8.111640,130.001600,10.001600,120.000000,140.000000,-8.110050,-5.872097,20.000000,0.000130,True
2026-04-08 08:00:39+00:00,138.111650,8.111640,130.001470,10.001470,120.000000,140.000000,-8.110180,-5.872191,20.000000,0.000130,True
2026-04-08 08:00:40+00:00,138.098520,8.098510,130.002520,10.002520,120.000000,140.000000,-8.096000,-5.862481,20.000000,0.001050,True
2026-04-08 08:00:41+00:00,138.098520,8.098510,130.001730,10.001730,120.000000,140.000000,-8.096790,-5.863053,20.000000,0.000790,True
2026-04-08 08:00:42+00:00,138.098520,8.098530,130.002000,10.002000,120.000000,140.000000,-8.096520,-5.862858,20.000000,0.000270,True
2026-04-08 08:00:43+00:00,138.098520,8.098530,130.002000,10.002000,120.000000,140.000000,-8.096520,-5.862858,20.000000,0.000000,True
2026-04-08 08:00:44+00:00,138.098520,8.098530,130.001470,10.001470,120.000000,140.000000,-8.097050,-5.863242,20.000000,0.000530,True
2026-04-08 08:00:45+00:00,138.098520,8.098530,130.001470,10.001470,120.000000,140.000000,-8.097050,-5.863242,20.000000,0.000000,True
2026-04-08 08:00:46+00:00,138.103000,8.103010,130.001860,10.001860,120.000000,140.000000,-8.101140,-5.866013,20.000000,0.000390,True
2026-04-08 08:00:47+00:00,138.103000,8.103010,130.002000,10.002000,120.000000,140.000000,-8.101000,-5.865912,20.000000,0.000140,True
2026-04-08 08:00:48+00:00,138.103000,8.103010,130.001600,10.001600,120.000000,140.000000,-8.101400,-5.866201,20.000000,0.000400,True
2026-04-08 08:00:49+00:00,138.103000,8.103000,130.001600,10.001600,120.000000,140.000000,-8.101400,-5.866201,20.000000,0.000000,True
2026-04-08 08:00:50+00:00,138.103000,8.103000,130.002650,10.002650,120.000000,140.000000,-8.100350,-5.865441,20.000000,0.001050,True
2026-04-08 08:00:51+00:00,138.098900,8.098900,130.001470,10.001470,120.000000,140.000000,-8.097430,-5.863501,20.000000,0.001180,True
2026-04-08 08:00:52+00:00,138.098900,8.098900,130.001860,10.001860,120.000000,140.000000,-8.097040,-5.863218,20.000000,0.000390,True
