ticker,isin,cusip,company_name
BIDU,US0567521085,056752108,Baidu Inc ADR
TCOM,US89677Q1076,89677Q107,Trip.com Group Ltd ADR
SE,US81141R1005,81141R100,Sea Limited ADR
SPXL,US25459W8626,25459W862,Direxion Daily S&P 500 Bull 3X Shares
SATS,US2787681061,278768106,EchoStar Corporation
