feed_id,name
3339,GIGADEVICE SEMICONDUCTOR INC (CN)
3341,MONTAGE TECHNOLOGY CO LTD (CN)
3358,MONTAGE TECHNOLOGY CO LTD (HK)
3360,GIGADEVICE SEMICONDUCTOR INC (HK)
